,pxl_row_in_fullres,pxl_col_in_fullres,spot_index,cell_index,cell_nums
384,4505.478139334268,2972.8107579882567,132,132_5,16
385,4525.746542529925,3079.0,132,132_6,16
386,4466.583804365472,2995.6599546502343,132,132_7,16
387,4473.584843120471,2945.4347985924283,132,132_8,16
388,4577.0,3037.5482806126656,132,132_9,16
389,4452.05358797455,2962.9235213327656,132,132_10,16
390,4494.563546271613,3064.5502176482164,132,132_11,16
391,4475.864993983951,3011.0830780241467,132,132_12,16
392,4524.983467140896,2940.0,132,132_13,16
393,4533.1301227415115,2974.1577137648674,132,132_14,16
394,4448.200526867279,2951.00436149818,132,132_15,16
395,4472.1076360521865,3127.0,133,133_0,13
396,4461.744154574033,3249.4197714221636,133,133_1,13
397,4509.648904382786,3163.7505810297416,133,133_2,13
398,4482.919859901785,3164.596077227856,133,133_3,13
399,4527.479453643336,3138.7081276165327,133,133_4,13
400,4476.209864228827,3227.1426964809293,133,133_5,13
401,4577.0,3185.4303060089096,133,133_6,13
402,4438.0,3180.5750901975357,133,133_7,13
403,4484.596782705465,3144.991663893602,133,133_8,13
404,4565.227375246309,3251.9063562828505,133,133_9,13
405,4504.8781171561695,3210.995502840333,133,133_10,13
406,4576.594738662944,3206.667817064562,133,133_11,13
407,4476.83782516267,3266.0,133,133_12,13
408,4436.0,3874.0,134,134_0,3
409,4575.0,3886.2439526121407,134,134_1,3
410,4510.148257775263,4013.0,134,134_2,3
411,4435.0,4116.350115169464,135,135_0,3
412,4444.703460620525,4199.0,135,135_1,3
413,4574.0,4060.0,135,135_2,3
414,4574.0,4386.0,136,136_0,2
415,4435.0,4247.0,136,136_1,2
419,4572.0,5319.0,141,141_0,2
420,4433.0,5180.0,141,141_1,2
423,4632.0,2800.0,145,145_0,2
424,4493.0,2661.0,145,145_1,2
425,4492.0,2964.2478096285236,146,146_0,6
426,4631.0,2847.0,146,146_1,6
427,4561.217508835865,2912.771854762728,146,146_2,6
428,4546.273667952771,2942.9534505779493,146,146_3,6
429,4620.773750601381,2959.0026087796364,146,146_4,6
430,4559.413351097884,2986.0,146,146_5,6
431,4517.7384672708895,3154.4240596419277,147,147_0,14
432,4617.670121607182,3090.4659475063527,147,147_1,14
433,4514.935738522472,3062.397342532014,147,147_2,14
434,4492.0,3119.0037173718238,147,147_3,14
435,4502.101346256537,3149.45979335087,147,147_4,14
436,4498.342537580802,3080.168273194138,147,147_5,14
437,4563.547600273772,3138.686577693683,147,147_6,14
438,4626.214150586455,3075.6371852808265,147,147_7,14
439,4588.72534319594,3034.0,147,147_8,14
440,4529.533494669817,3083.0908968879694,147,147_9,14
441,4562.908927435779,3173.0,147,147_10,14
442,4541.628267892452,3060.44802591035,147,147_11,14
443,4631.0,3105.785523115101,147,147_12,14
444,4573.428524477587,3047.916368978919,147,147_13,14
445,4629.0,3781.0,148,148_0,4
446,4526.259755704765,3864.1996307326394,148,148_1,4
447,4490.0,3920.0,148,148_2,4
448,4599.182727578519,3868.4156218755365,148,148_3,4
449,4614.50861120223,3967.0,149,149_0,4
450,4628.0,4019.602483733529,149,149_1,4
451,4602.058371471021,4018.06736493357,149,149_2,4
452,4489.0,4106.0,149,149_3,4
453,4536.762382044028,4666.0,152,152_0,4
454,4614.746855877724,4612.083247664534,152,152_1,4
455,4488.0,4558.202028718628,152,152_2,4
456,4627.0,4527.0,152,152_3,4
459,4625.0,5226.0,155,155_0,2
460,4486.0,5087.0,155,155_1,2
461,4486.0,5274.0,156,156_0,2
462,4625.0,5413.0,156,156_1,2
465,4547.0,2568.1025522676373,159,159_0,3
466,4686.0,2706.0,159,159_1,3
467,4594.458617042283,2567.0,159,159_2,3
468,4546.0,2859.8939138122346,160,160_0,6
469,4600.051004071491,2893.0,160,160_1,6
470,4654.735966593501,2836.0770418425527,160,160_2,6
471,4685.0,2794.848634746281,160,160_3,6
472,4599.038311570322,2754.0,160,160_4,6
473,4675.974287813511,2884.8696405787364,160,160_5,6
474,4656.933222768227,3005.6387039805986,161,161_0,12
475,4685.0,2981.375657107366,161,161_1,12
476,4657.525348689949,2950.5843827195617,161,161_2,12
477,4668.690228723479,2977.004349397897,161,161_3,12
478,4638.672923711587,2954.223101369642,161,161_4,12
479,4625.246540158073,3026.6995086283923,161,161_5,12
480,4546.0,3004.8836941996483,161,161_6,12
481,4672.603102692736,3062.913656267762,161,161_7,12
482,4644.189831752272,3080.0,161,161_8,12
483,4605.8060886305975,2941.0,161,161_9,12
484,4617.587360972379,3050.981505960879,161,161_10,12
485,4602.975068978906,2993.8455854506647,161,161_11,12
486,4606.525471329278,3171.1821503090246,162,162_0,8
487,4684.0,3256.712908852817,162,162_1,8
488,4581.2467639712495,3266.0,162,162_2,8
489,4659.746725047949,3264.2201922359177,162,162_3,8
490,4600.465011756729,3191.115524756482,162,162_4,8
491,4642.533856269092,3175.040275219763,162,162_5,8
492,4558.629201423347,3177.807286685298,162,162_6,8
493,4545.0,3127.0,162,162_7,8
495,4562.667096748153,3951.3055260494907,164,164_0,4
496,4577.976846737059,4013.0,164,164_1,4
497,4543.0,3982.669733914908,164,164_2,4
498,4682.0,3874.0,164,164_3,4
500,4542.0,4386.0,166,166_0,5
501,4626.548274445823,4247.0,166,166_1,5
502,4681.0,4283.876940046209,166,166_2,5
503,4641.155038989827,4288.610794115429,166,166_3,5
504,4607.929804431407,4352.538877845385,166,166_4,5
505,4542.0,4386.0,167,167_0,5
506,4626.548274445823,4247.0,167,167_1,5
507,4681.0,4283.876940046209,167,167_2,5
508,4641.155038989827,4288.610794115429,167,167_3,5
509,4607.929804431407,4352.538877845385,167,167_4,5
510,4681.0,4434.0,168,168_0,3
511,4542.0,4573.0,168,168_1,3
512,4623.984124742239,4560.997328060736,168,168_2,3
517,4667.124175179084,2240.0,175,175_0,4
518,4741.0,2123.3967630061675,175,175_1,4
519,4602.0,2101.0,175,175_2,4
520,4646.234715639624,2227.9891657407143,175,175_3,4
521,4601.0,2287.0,176,176_0,3
522,4740.0,2426.0,176,176_1,3
523,4628.945440761709,2327.9585541778833,176,176_2,3
524,4656.992779445343,2800.0,178,178_0,7
525,4616.239998982331,2725.136208941038,178,178_1,7
526,4712.281228009615,2790.5681408310634,178,178_2,7
527,4643.476253199041,2668.7351601237583,178,178_3,7
528,4739.0,2785.995144789655,178,178_4,7
529,4600.0,2661.0,178,178_5,7
530,4628.279185289649,2777.8577188824993,178,178_6,7
531,4634.293090765468,2985.9655470134635,179,179_0,11
532,4665.551910201331,2927.6767823850464,179,179_1,11
533,4600.0,2950.790924309791,179,179_2,11
534,4619.761681632549,2866.1835693696007,179,179_3,11
535,4705.039908654568,2975.1284289360997,179,179_4,11
536,4681.983860322061,2848.0,179,179_5,11
537,4739.0,2854.2459072087886,179,179_6,11
538,4660.222082912733,2987.0,179,179_7,11
539,4681.436128965855,2876.556068109942,179,179_8,11
540,4728.268043742975,2934.003302289528,179,179_9,11
541,4641.382324310334,2888.0575498122053,179,179_10,11
